OBJECTID_12,Cod_Favela,Nome,Cod_Comp,Complexo,UPP,Pop_SABR,Dom_SABR,Fonte,Porte,Bairro,RA,RP,AP,Programa_Urbanizacao_1,Programa_Urbanizacao_2,Programa_Urbanizacao_3,Contagem_Domicílios,Ano_Contagem_Domicílios,PROAP,PROAP_Panoramas,PROAP_MRP,PROAP_Fichas,Grau_Urbanizacao,Urbanizadas_DEC36388_2012,Urbanizáveis_DEC36388_2012,AEIS_Número,AEIS_Data,AEIS_Número_Data,Denominação_AEIS,Observações_AEIS,Validação_AEIS_SMH,Ciclo_Morar_Carioca,Observações_Ciclos,Agrupamento_Número,Agrupamento_Nome,Agrupamento_Número_Nome
1819,927,Comendador Lisboa,2053,Grota,N,119,39,IBGE - Censo Demográfico 2010,< 100 domicílios,83,Madureira,Madureira,3,0,0,8,0, ,,,, ,7,0,1, , , , , ,0,0, , , , 
1820,926,Parque da Comunidade Vila Arco Íris,2092,Colônia Juliano Moreira,N,404,119,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,115,Jacarepaguá,Jacarepaguá,4,0,6,0,0, ,,,, ,1,0,1,5589,10/06/2013,5589/2013,Colônia Juliano Moreira,A  AEIS extrapola o limite da favela estabelecido pelo SABREN.,1,1, , , , 
1821,925,Vila Rio Grande,0,Isolada,N,136,42,IBGE - Censo Demográfico 2010,< 100 domicílios,115,Jacarepaguá,Jacarepaguá,4,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1822,924,Caminho Novo da Represa,0,Isolada,N,74,24,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,115,Jacarepaguá,Jacarepaguá,4,0,6,0,67, ,0, , , ,4,0,1,5797,14/10/2014,5797/2014,Setor 1 - Colônia Juliano Moreira,"A AEIS não abrange toda a área da favela. Em contrapartida, abrange áreas que estão fora do limite estabelecido pelo SABREN.",1,1, , , , 
1823,923,Caminho dos Calharins,0,Isolada,N,110,27,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,115,Jacarepaguá,Jacarepaguá,4,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1824,922,Estrada do Pau da Fome,0,Isolada,N,91,28,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,115,Jacarepaguá,Jacarepaguá,4,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
1825,921,Santa Maria II,0,Isolada,N,132,36,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,115,Jacarepaguá,Jacarepaguá,4,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1826,920,Vila O - Conj. Vila Nova Cruzada,2101,Via O,Cidade de Deus,342,128,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,115,Jacarepaguá,Jacarepaguá,4,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1827,919,Vila da Conquista,0,Isolada,Cidade de Deus,278,80,IBGE - Censo Demográfico 2010,< 100 domicílios,115,Jacarepaguá,Jacarepaguá,4,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1828,918,Avenida Sampaio Correa,2092,Colônia Juliano Moreira,N,139,45,IBGE - Censo Demográfico 2010,< 100 domicílios,115,Jacarepaguá,Jacarepaguá,4,0,6,0,0, ,,,, ,1,0,1,5589,10/06/2013,5589/2013,Colônia Juliano Moreira,A  AEIS extrapola o limite da favela estabelecido pelo SABREN.,1,1, , , , 
