OBJECTID_1,OBJECTID,Cod_Favela,Nome,Situacao,Cod_Comple,Complexo,Data_cadas,Cod_bairro,Bairro,Cod_RA,RA,Cod_RP,RP,Cod_AP,Pop_SABREN,Dom_SABREN,Fonte,UPP,COD_BAIRRO_,"SMH""RIO\02479574""Lim_Favelas__Area",ShapeSTArea,ShapeSTLength
1,1,927,Comendador Lisboa,1,2053,Grota,2009/01/15 00:00:00+00,83,Madureira,15,Madureira,3.3,Madureira,3,119,39,IBGE - Censo Demográfico 2010,N,083,4320.87946509,4320.879465035,350.780566561555
2,2,926,Parque da Comunidade Vila Arco Íris,1,2092,Colônia Juliano Moreira,2009/01/15 00:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,404,119,IBGE - Censo Demográfico 2010,N,115,18062.7325197,18062.73251997,805.545475738652
3,3,925,Vila Rio Grande,2,0,Isolada,2009/01/15 00:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,136,42,IBGE - Censo Demográfico 2010,N,115,8776.70158697,8776.701586955,400.946769618421
4,4,924,Caminho Novo da Represa,2,0,Isolada,2009/01/15 00:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,74,24,IPP com base em IBGE - Censo Demográfico 2010,N,115,8997.76326848,8997.76326846,602.187479239372
5,5,923,Caminho dos Calharins,2,0,Isolada,2009/01/15 00:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,110,27,IPP com base em IBGE - Censo Demográfico 2010,N,115,11867.3309666,11867.330966505,528.67351037016
6,6,922,Estrada do Pau da Fome,2,0,Isolada,2009/01/15 00:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,91,28,IPP com base em IBGE - Censo Demográfico 2010,N,115,15430.0084184,15430.0084185,935.003716772397
7,7,921,Santa Maria II,2,0,Isolada,2009/01/15 00:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,132,36,IPP com base em IBGE - Censo Demográfico 2010,N,115,7327.66725023,7327.66648275,736.264381368966
8,8,920,Vila O - Conj. Vila Nova Cruzada,1,2101,Via O,2009/01/15 00:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,342,128,IBGE - Censo Demográfico 2010,Cidade de Deus,115,9797.77712871,9797.780588245,1330.61294961041
9,9,919,Vila da Conquista,2,0,Isolada,2009/01/15 00:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,278,80,IBGE - Censo Demográfico 2010,Cidade de Deus,115,46587.0997291,46587.093096055,2774.17799923111
10,10,918,Avenida Sampaio Correa,1,2092,Colônia Juliano Moreira,2009/01/15 00:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,139,45,IBGE - Censo Demográfico 2010,N,115,24307.3185186,24307.31851858,1022.107626118
11,11,917,Comunidade Campo da Paz,2,0,Isolada,2009/01/15 00:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,538,151,IBGE - Censo Demográfico 2010,N,115,14003.602538,14003.594527505,927.711854202225
12,12,916,Caminho do Fincão,2,0,Isolada,2009/01/15 00:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,76,23,IPP com base em IBGE - Censo Demográfico 2010,N,115,15033.5771142,15033.57670768,1286.06853277598
13,13,915,Caminho da Cachoeira,2,0,Isolada,2009/01/15 00:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,166,38,IBGE - Censo Demográfico 2010,N,115,19162.0601805,19162.060180345,1552.16667625848
14,14,914,Estrada do Rio Pequeno (próxima à rua 1),2,0,Isolada,2009/01/15 00:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,248,71,IBGE - Censo Demográfico 2010,N,115,5883.19665268,5883.1953891,530.418168841038
15,15,913,Avenida Menezes Cortes (com Estrada dos Três Rios),2,0,Isolada,2009/01/15 00:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,50,17,IPP com base em IBGE - Censo Demográfico 2010,N,115,5472.72534096,5472.72338526,609.639122223964
16,16,912,"Avenida Menezes Cortes, nº 12",2,0,Isolada,2009/01/15 00:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,0,0, ,N,115,5601.07485164,5601.07485166,490.872103592055
17,17,911,Antiga Company,1,2083,Jacarezinho,2009/01/15 00:00:00+00,51,Jacaré,13,Méier,3.2,Méier,3,24,7,IPP com base em IBGE - Censo Demográfico 2010,Jacarezinho,051,1459.53095921,1459.530959245,161.801448780767
18,18,910,"Engenheiro Alberto Moas, próxima ao nº 75",1,2083,Jacarezinho,2009/01/15 00:00:00+00,51,Jacaré,13,Méier,3.2,Méier,3,72,22,IPP com base em IBGE - Censo Demográfico 2010,Jacarezinho,051,612.14087887,612.14087889,109.625814239477
19,19,908,Regata,2,0,Isolada,2009/01/15 00:00:00+00,127,Itanhangá,24,Barra da Tijuca,4.2,Barra da Tijuca,4,662,253,IBGE - Censo Demográfico 2010,N,127,27256.0900533,27256.092451845,1176.94311595804
